sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
8,1,1,0,1002,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.801651587948801,0.3028926836851784,-15.75044171214087,3.095868188473605,4.897756487157193,5.966167569576012
9,1,1,0,1002,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.803159819560207,0.30298782434918325,-5.702281256188317,3.096309549199476,4.898069229416513,5.96932305677053
10,1,1,0,1002,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.808542499259943,0.3033273688308701,-2.35489609684961,3.097885324188829,4.899186003084898,5.9805790628433035
11,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.830013232590024,0.30468176281800546,-0.6849380601546249,3.104180425050599,4.903650554381629,6.02539281791898
12,1,1,1,1003,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.801633749828337,0.30289155843981636,-15.80425233606363,3.095857359514525,4.897765056042366,5.9661230852054725
13,1,1,1,1003,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.8030483652294365,0.30298079370551056,-5.723681223251888,3.0962418772315905,4.8981227812834005,5.969045170992549
14,1,1,1,1003,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.8080971655293245,0.30329927676164514,-2.3653744635877576,3.097614765147466,4.899400158213781,5.979469534661801
15,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.8282395726520235,0.3045698786863217,-0.6897364594022457,3.1031002428228844,4.904506339012765,6.020986511058227
16,2,2,0,1004,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.869664703932743,0.30418899070730476,-15.693836527220611,2.8879873035265433,3.9861249085850927,6.849178091859793
17,2,2,0,1004,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.871506479386784,0.3043040392477148,-5.680060148083835,2.888496386023937,3.986451866796897,6.8527013854216925
18,2,2,0,1004,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.878078572266339,0.3047145722969927,-2.3445360698688744,2.8903138058271183,3.9876193558521758,6.865269816131795
19,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.904278873717354,0.3063512030999667,-0.6812498350373051,2.8975720858126897,3.992285897913691,6.915315114324845
20,2,2,1,1005,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.8695405822425455,0.3041812373086702,-15.64601956221179,2.8879692332599873,3.9861536287312833,6.848904248288001
21,2,2,1,1005,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.870730960269133,0.30425559558844567,-5.66003549842659,2.8883834649089435,3.98663134959452,6.850990563710008
22,2,2,1,1005,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.874979937566042,0.30452101265390424,-2.3329226868766826,2.889862378954941,3.988337028423274,6.858436509396507
23,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.891938941673335,0.3055803755990845,-0.6722586031460658,2.895770482109726,3.9951524615691087,6.888139803382361
24,3,3,0,1006,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.568356433137768,0.2851550273507634,-14.789746441712039,2.577781139992509,4.562274364478274,5.928772091934121
25,3,3,0,1006,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.56970909889012,0.28523946021961977,-5.317768680260367,2.578334666751727,4.562561179550441,5.931437395313465
26,3,3,0,1006,0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.574536782897135,0.28554080237301993,-2.1622215537424374,2.580310578710363,4.563585371943425,5.940946574799009
27,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.593796784412404,0.2867430041581136,-0.5877676685749209,2.5881991418606254,4.567679845010686,5.978832053586079
28,3,3,1,1007,0.02,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.568311574430462,0.2851522272877438,-14.69316210607667,2.577781838306715,4.562279637410203,5.928664033945097
29,3,3,1,1007,0.05,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=4,,,64,1.0,32.492063492063494,compact_polynomial,4,4.569428807740061,0.28522196455531884,-5.278800019981688,2.5783390302754547,4.562594133203352,5.930762304091348
