alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=4|degree=3,,,128,4.0,64.4724409448819,compact_polynomial,3,1.3245912818782533,0.017465923457323222,0.08251116929091651,7.106025672844547e-05,0.09416648172115348,0.009789580580176451,0.669171754495387,0.0006389864728289852,1.4165043489759257,0.010949233194300655,1.6701268006210288,0.06579539992225916,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=4|degree=4,,,128,4.0,64.4724409448819,compact_polynomial,4,1.1990430127458824,0.002086728744653867,0.07469332329003245,1.1884455020793576e-05,0.18023989962851675,0.002028868739426921,0.6117562821712819,0.0038471338761788673,1.361433013711586,0.011004740310541885,1.4413060992929079,0.00132104850547906,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=1|degree=2,,,32,1.0,66.03225806451613,compact_polynomial,2,6.3661963890512,0.24042170561938303,0.3966463498528559,0.0011045557896722528,-3.35449913396209,0.16223264385860822,4.522608162926577,0.08077286871103855,6.037306239943655,0.09645325685979465,8.038484711421551,0.6253905526822628,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=1|degree=3,,,32,1.0,66.03225806451613,compact_polynomial,3,6.401739298285217,0.10936709858502877,0.39882606831837564,0.0005696760372702282,-3.3775843736873776,0.09058234460208778,4.6102121100819184,0.04062829408993614,6.118156787022728,0.06422978999527633,8.013962250651714,0.26987891181861545,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=1|degree=4,,,32,1.0,66.03225806451613,compact_polynomial,4,6.708117612171695,0.04245175099861402,0.41786508437419956,0.0002754783790882232,-3.5855898931457872,0.04708487825489798,4.725985676095381,0.03214887172935782,6.204816195270958,0.04783176722282421,8.608622746306391,0.1141935369643829,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=2|degree=2,,,32,2.0,132.06451612903226,compact_polynomial,2,6.398106987026234,0.11915596735554206,0.3985893962231454,0.0005931016787814725,-3.375075992487421,0.09369233059748179,4.555481159419321,0.08858413009572177,6.043741919893799,0.07843321241399334,8.0919126172118,0.25175526920584584,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=2|degree=3,,,32,2.0,132.06451612903226,compact_polynomial,3,6.3716055998067205,0.17692758849645007,0.39697939279513894,0.0008586193175313226,-3.357761439934548,0.1293066065184344,4.501773507455948,0.15256240767357743,6.0083717745316605,0.13106884190742135,8.087548459008781,0.2685729048155398,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=2|degree=4,,,32,2.0,132.06451612903226,compact_polynomial,4,6.355923296604958,0.18157013555181611,0.39599733918433594,0.0008694500014362614,-3.3470467298519324,0.13095598752435608,4.501646721325795,0.1249200764352143,6.008018671122023,0.12772329548956254,8.05068861292209,0.3152966689073485,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=4|degree=2,,,32,4.0,264.1290322580645,compact_polynomial,2,6.336247765859232,0.13465797250655448,0.3947438761511318,0.0006578166069013929,-3.332905448527516,0.10122234506500037,4.46530854048956,0.16290566125899356,6.010176803609684,0.1073183445105577,8.020481840591989,0.20221504387616943,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=4|degree=3,,,32,4.0,264.1290322580645,compact_polynomial,3,6.350939923169619,0.15842864518851132,0.3956842879580264,0.0007811007497768941,-3.34342381997008,0.11900007018883853,4.467995623599946,0.1283806855443469,5.960295603756624,0.10508860045137312,8.092484650280651,0.27543774857548675,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=32|ch=4|degree=4,,,32,4.0,264.1290322580645,compact_polynomial,4,6.351068035007627,0.1097243114981805,0.39566933837740254,0.0005663861266916338,-3.3429695145912213,0.08996790208781036,4.512179778349274,0.10383115285931269,5.993178913167179,0.08248160210686006,8.041198256801739,0.22956737073903505,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=2,,,64,1.0,32.492063492063494,compact_polynomial,2,3.873173792969763,0.037170733970437284,0.24126292048492073,0.0001747263683636881,-1.647934704067211,0.027433418079188608,2.291854637966245,0.08215815961064521,3.9018309874006265,0.09660269105321531,4.939278301470713,0.09658843410175617,10,5,True
0.1,kernel_smoothing,kernel|type=compact_polynomial|M=64|ch=1|degree=3,,,64,1.0,32.492063492063494,compact_polynomial,3,4.082647248021653,0.0727442519356259,0.254317669431567,0.00031881631749560856,-1.791416708138565,0.04660365504549013,2.464708088147664,0.14614923844610472,4.069568170887098,0.15652394423244673,5.208772613333336,0.21123460942508002,10,5,True
