sample_index,clean_index,trajectory_seed,replicate_id,noise_seed,alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,rmse,relative_rmse,denoising_gain,rmse_x,rmse_y,rmse_z
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.260779040257256,0.07784036154276813,0.5776190803626012,0.5697966568443463,0.6427253317495578,2.007716932944594
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.2819606201423333,0.07914810999325396,0.5744181664858912,0.5792687834792081,0.6262366290379254,2.0500108428310515
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.2638225958910758,0.07972311417433446,0.559118642008689,0.5245486707832758,0.583596777950345,2.0435278697390076
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.2154515792406237,0.07667182509650808,0.5746290511941547,0.531280996399957,0.6030774386935474,1.9457661036822185
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.3348883770308184,0.0833852786184609,0.5423831063719353,0.5490923554049271,0.6238415445452801,2.157568133323055
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.1956783751230573,0.07468937190798758,0.5912697453432854,0.571234724499907,0.6174730220587584,1.8924476972338975
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.2536593631632726,0.07825292864589904,0.5666939793699476,0.5732432845989862,0.5999175591572278,2.0066081967882567
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.1958987674388977,0.07464753478168437,0.5891822850936855,0.556324185394233,0.6185252319246873,1.8969584929838557
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.2950082129478764,0.07988794469045139,0.564584433923949,0.5478008606760473,0.6354236284320341,2.0802138938773145
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=2,,,384,1.5,8.016971279373369,compact_polynomial,2,1.3297704988679828,0.0820324002600246,0.5468304175276296,0.5780697484541063,0.6209984716092486,2.1412764891905023
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.2817827264358541,0.07913712685506212,0.5705825132873099,0.5799740562851209,0.6489942338451673,2.0423852359043115
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.300546814356274,0.0802956196131966,0.5682479717955582,0.5892232531712065,0.6355895804461917,2.079208477317108
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.2779782269176991,0.08061606465030657,0.5541804854584483,0.5328295920092533,0.5901962829693053,2.0657797604961634
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.2284788463662915,0.07749359731977404,0.5700699053818186,0.5377509643330203,0.6101893429976095,1.966207947791744
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.3501981204547862,0.0843416186712706,0.5371347295424792,0.557927079329891,0.6269099438085812,2.1828436018055064
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.2165964453584026,0.07599604229687398,0.5841191199308791,0.5782690181221813,0.6239254830188438,1.927859607672669
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.2735263928630747,0.07949302089359049,0.5598272787063486,0.5819946331453764,0.6086630100850355,2.038729998577719
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.2276663878133323,0.07663045725923691,0.5782694038652973,0.5610735010920761,0.6187905936958966,1.9554511005969097
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.334263867658081,0.08230959232242863,0.5513856580811136,0.5583266105996528,0.638627218421424,2.1496992527796355
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=3,,,384,1.5,8.016971279373369,compact_polynomial,3,1.3478713656525219,0.08314902718954871,0.5406618626904449,0.5856326939261501,0.6309665709121004,2.1700661716256975
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.284838987460299,0.07932582008005683,0.5695586175046725,0.580539075913922,0.645833024825025,2.0489772464515994
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.300069057183929,0.08026612293706421,0.5684065763347199,0.5867615493439893,0.6325494203732825,2.0799352815263754
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.274667851498265,0.08040724306539308,0.5553353016606006,0.5288826190830798,0.5849979966369258,2.0621335829892837
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.2267751635276505,0.0773861274091209,0.5706661423672439,0.5327688337241379,0.6041781310504012,1.9662294020071873
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.34853248705387,0.08423757303899043,0.5377057300815249,0.5551354477992955,0.6184048270185835,2.182892510050799
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.222297779586144,0.0763521824440634,0.5821701779417359,0.5741369008129574,0.6186226317315284,1.941573703102229
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.273992489889166,0.07952211448822752,0.5596661802026104,0.5796547786723544,0.6033016781347359,2.0418614094997007
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.2342742673665799,0.07704291852453328,0.5759994508790134,0.5565864058876684,0.6089083867482089,1.9722426449548915
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.3457288161780534,0.08301685515218127,0.5475308431077839,0.5573375186786086,0.6317953283020502,2.1732850005199076
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=4,,,384,1.5,8.016971279373369,compact_polynomial,4,1.3485507222406599,0.08319093611413747,0.5404303462433149,0.5822468528677268,0.6251626132024806,2.173919837700299
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.3483571381681685,0.0832474238327808,0.5482790323807143,0.6241160893638165,0.7162213532174919,2.1334729893625743
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.3547854776773922,0.08364430881860317,0.550241966446507,0.6239364127638494,0.7019424720807028,2.1504211657936425
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.3372322274377233,0.08435386255335268,0.5335098752789658,0.5793299434048778,0.6842002062180204,2.135606935927085
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.2980667353415682,0.08188326659453121,0.5457162685406842,0.581696467244934,0.6988278489543512,2.0562588858705393
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.4062690484962554,0.08784415119577518,0.5179128947024358,0.6017834732775194,0.6982111513717265,2.2545810585707278
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.300358632976278,0.08122833997238749,0.5554858846161279,0.618483778935227,0.7034756527101185,2.0482669611908224
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.3376254248715638,0.08349405747929838,0.5376725393074777,0.624976721429962,0.6914703047758191,2.1210842149882647
7,3,3,1,1007,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.3078442393835483,0.08163512749284363,0.5507265359696193,0.6016214155042545,0.6910022928311026,2.071699101504612
8,4,4,0,1008,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.4187118091167767,0.08751911331930148,0.5229920557343808,0.6072255408657024,0.716018784588855,2.27086411628227
9,4,4,1,1009,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=6,,,384,1.5,8.016971279373369,compact_polynomial,6,1.412700754046302,0.08714829649343114,0.518568797085998,0.628391873751435,0.7099245624841553,2.255726275511683
0,0,0,0,1000,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,2.021893489519329,0.12483148529582154,0.32263370166925764,0.9822631754198261,1.1303440558917144,3.165697587958519
1,0,0,1,1001,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,2.021256627931642,0.1247921655302993,0.3289886692290238,0.9795380600883982,1.1193635436808238,3.169221594301879
2,1,1,0,1002,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,1.9984371892188872,0.12606329141789197,0.3028501747731862,0.9533343569881013,1.1520519294987164,3.1217276552069113
3,1,1,1,1003,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,1.9768097988787883,0.12469901535969968,0.30817691620169996,0.9546310077147336,1.1601709655983057,3.076688790326679
4,2,2,0,1004,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,2.0507351358046417,0.12810143800344845,0.296981636331094,0.9673004262800728,1.1396287864926558,3.222129715884615
5,2,2,1,1005,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,1.9885940029963016,0.12421972342562304,0.32021975962403604,0.9778818671390896,1.1453663691074514,3.097644469705445
6,3,3,0,1006,0.2,kernel_smoothing,kernel|type=compact_polynomial|M=384|ch=1.5|degree=8,,,384,1.5,8.016971279373369,compact_polynomial,8,2.006058165469286,0.1252173685249672,0.30664013975962867,0.9831356316410444,1.1444639896115127,3.129928848395481
