alpha,method,setting_id,window_length,polyorder,n_anchors,bandwidth_multiplier,bandwidth,kernel_type,kernel_degree,mean_rmse,variance_cluster_rmse,mean_relative_rmse,variance_cluster_relative_rmse,mean_denoising_gain,variance_cluster_denoising_gain,mean_rmse_x,variance_cluster_rmse_x,mean_rmse_y,variance_cluster_rmse_y,mean_rmse_z,variance_cluster_rmse_z,n_realizations,n_clusters,eligible_for_ranking
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=1|degree=6,,,128,1.0,16.118110236220474,compact_polynomial,6,5.558977283280145,0.0016936945163612857,0.3461987275367642,8.512443261143516e-06,-0.899267545457185,0.0011580287111464394,2.9186662494835187,0.001349288441965889,3.588274591246339,0.015161971500056288,8.443795982845545,0.006881627925652787,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=1|degree=8,,,128,1.0,16.118110236220474,compact_polynomial,8,7.1617109809476265,0.0030190067149392674,0.44600244039144477,3.43983179131858e-06,-1.4467158174640473,0.0011183264658130682,3.6571827246469213,0.0013423644129100954,4.3400074210390995,0.012075838445867487,11.029267653168954,0.01427454721369141,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=1,,,128,2.0,32.23622047244095,compact_polynomial,1,1.6610407883188874,0.012747987384298868,0.10348859147113351,6.081130840164363e-05,0.43200545215112296,0.002242258371302756,0.9886035880827204,0.0079719322117471,1.7564949524241182,0.06466754024479868,2.045426189941618,0.002801103588732262,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=2,,,128,2.0,32.23622047244095,compact_polynomial,2,1.5040880289121958,0.0023905744477209392,0.09369076766508198,1.4112990786776537e-05,0.48589145257048527,0.0006408262026103279,0.7210128453176115,0.0021992696139041955,1.506285808665641,0.0007016544208242198,1.9971547688654394,0.015566126603117274,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=3,,,128,2.0,32.23622047244095,compact_polynomial,3,1.2011148900386548,0.006850141528482599,0.07483476359265279,3.286460652728108e-05,0.5892814347310272,0.0011976393059341113,0.5753427852219645,0.0013162820996984047,1.224539667117098,0.02171215896147036,1.5782030795638797,0.004832750322725291,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=4,,,128,2.0,32.23622047244095,compact_polynomial,4,1.2218801895586549,0.003759939654147386,0.0761198233153717,1.9345139048659744e-05,0.582264765655905,0.0007603091723689408,0.59513023747068,0.0005012269449498461,1.2155583497319407,0.014207453866342885,1.6252566819900367,0.0024802464294894112,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=6,,,128,2.0,32.23622047244095,compact_polynomial,6,1.3033795645782944,0.003440789459985116,0.0811929617412672,1.78371940418336e-05,0.554426642868651,0.0007338581371393988,0.6683099127035467,0.001039254556325227,1.2888261819645213,0.012399607474514816,1.7266792435634148,0.004697654519035572,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=2|degree=8,,,128,2.0,32.23622047244095,compact_polynomial,8,1.4231787181086442,0.004474450375657275,0.08865539236097138,2.2574722600946735e-05,0.513464275101883,0.0009245294952285876,0.7770108702689021,0.0015171219585734632,1.4182564760198306,0.01532901117458863,1.8578620962062788,0.007249737179152756,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=3|degree=1,,,128,3.0,48.354330708661415,compact_polynomial,1,1.737280770351053,0.005016004966995478,0.10820472453722947,2.2624307973433708e-05,0.40630011445965375,0.0008766935822040441,1.0222020239806087,0.004316516927100035,1.7437691929385686,0.013503536183867772,2.2270613042378837,0.007769368426352402,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=3|degree=2,,,128,3.0,48.354330708661415,compact_polynomial,2,1.4716684672348763,0.005548583123000224,0.09167238288122438,2.6239701434234495e-05,0.49691400991094276,0.001049901334257237,0.7828834006998577,0.0029474051498979874,1.5287159501683896,0.011627982121424464,1.881848181380897,0.009184376881534952,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=3|degree=3,,,128,3.0,48.354330708661415,compact_polynomial,3,1.3912735942291294,0.010236305507570846,0.08667919302127572,4.7544310902128035e-05,0.524336599205186,0.0016437797754627398,0.777840570491425,0.004953043820355041,1.5018678657364384,0.024199436404519332,1.7135152650686447,0.013185763990301443,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=3|degree=4,,,128,3.0,48.354330708661415,compact_polynomial,4,1.4067287750994804,0.002328672308573592,0.08762976607183036,1.409050700833072e-05,0.5191460947353664,0.0006167792982182447,0.6842323054930601,0.000916107282720153,1.3865677601704673,0.0032455582070813256,1.881967734512673,0.007024802616493453,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=3|degree=6,,,128,3.0,48.354330708661415,compact_polynomial,6,1.185668966466775,0.006649789095457557,0.07387187398362281,3.179670171144953e-05,0.5945650291121771,0.0011595570340898898,0.5675055912111814,0.0011127298356320837,1.2072119310904448,0.02237046630044389,1.5590904032813964,0.0042869004973412695,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=128|ch=3|degree=8,,,128,3.0,48.354330708661415,compact_polynomial,8,1.210560704640479,0.004126766417097806,0.07541589154617054,2.0922436465937263e-05,0.5861220839379698,0.0008100508148602775,0.5877803905613707,0.0005407491427791827,1.210114850066112,0.016433536229926705,1.606201719766806,0.0023891627922734806,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.25|degree=1,,,192,0.25,2.6793193717277486,compact_polynomial,1,12.303134300216103,0.013704145875690653,0.7661744850574641,9.725978232393057e-08,-3.203002073187477,0.001603222145009047,6.079811905236791,0.003056119952243548,6.931352459249574,0.008079457405089056,19.211359645742412,0.051521715738778756,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.25|degree=2,,,192,0.25,2.6793193717277486,compact_polynomial,2,12.978873487558781,0.015469454681786649,0.8082555389311379,9.03548948239243e-08,-3.4338451227472917,0.0017723881581563493,6.412095463299396,0.003575362905855572,7.305781213520495,0.008306867956835814,20.269329319630337,0.05745960271231882,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.25|degree=3,,,192,0.25,2.6793193717277486,compact_polynomial,3,13.403066789547793,0.0161258388332782,0.8346727214306642,4.812360485523275e-08,-3.578762407568745,0.0018934829397176513,6.621219807580255,0.003636389045284839,7.541917674881897,0.009145863820191159,20.932885262336445,0.06038629710527266,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.25|degree=4,,,192,0.25,2.6793193717277486,compact_polynomial,4,13.695128320410168,0.016745195564315495,0.8528609435733312,3.99006618357267e-08,-3.6785378305835827,0.0019787454089777497,6.765282668375798,0.0037698363707184346,7.705035306270908,0.0095541096155288,21.389537947147883,0.0627377606655167,10,5,True
0.2,kernel_smoothing,kernel|type=compact_polynomial|M=192|ch=0.25|degree=6,,,192,0.25,2.6793193717277486,compact_polynomial,6,14.077932251755891,0.017678229803645553,0.8766999951376819,3.426230754307116e-08,-3.8093120354855095,0.00209294272510271,6.9542129811453295,0.004003919639597495,7.91926139109884,0.009976220793942963,21.98788570250959,0.06608777545346575,10,5,True
